table,schema,domain,category,columns,primary_key,fk_count,unique_count,check_count,index_count,trigger_count,rls_enabled,policy_count,has_hospital_id,has_created_at,has_updated_at,has_deleted_at,has_created_by,live_rows,seq_scans,idx_scans,realtime,app_files,app_ops,migration_files,migration_events,first_migration,last_migration
abdm_audit_log,public,ABDM,AUDIT,9,id,3,0,0,1,1,YES,1,YES,NO,NO,NO,NO,0,171,0,NO,1,INSERT,2,6,20260526000002_abdm_security.sql,20261009000185_custom_roles_role_fk.sql
abdm_care_contexts,public,ABDM,CORE ENTITY,11,id,2,0,2,1,1,YES,2,YES,YES,NO,NO,NO,0,814,0,NO,11,READ|INSERT|UPDATE,1,6,20260525000002_abdm_schema.sql,20260525000002_abdm_schema.sql
abdm_consent_logs,public,ABDM,AUDIT,10,id,3,0,1,3,1,YES,1,YES,NO,NO,NO,NO,3,1,210,NO,2,READ|INSERT|DELETE,1,5,20260908000012_abha_consent_logs.sql,20260908000012_abha_consent_logs.sql
abdm_consents,public,ABDM,CORE ENTITY,19,id,2,1,1,2,1,YES,2,YES,YES,YES,NO,NO,0,23189,0,NO,5,READ|UPDATE|INSERT,1,6,20260525000002_abdm_schema.sql,20260525000002_abdm_schema.sql
abdm_gateway_logs,public,ABDM,AUDIT,8,id,1,0,1,1,1,YES,2,YES,YES,NO,NO,NO,0,110,0,NO,8,READ|INSERT,1,6,20260525000002_abdm_schema.sql,20260525000002_abdm_schema.sql
abdm_rate_limits,public,ABDM,CORE ENTITY,4,key,0,0,0,1,0,YES,0,NO,YES,NO,NO,NO,0,0,0,NO,0,NONE,1,2,20260526000002_abdm_security.sql,20260526000002_abdm_security.sql
accounting_posting_failures,public,Other,CORE ENTITY,13,id,1,0,0,2,1,YES,3,YES,YES,NO,NO,NO,0,0,114,YES,2,READ|UPDATE|INSERT,2,9,20260613130000_accounting_posting_failures.sql,20261008000049_posting_failures_retry.sql
addon_skus,public,Platform,PLATFORM,13,id,0,1,0,2,0,YES,3,NO,YES,YES,NO,NO,0,145,0,NO,6,INSERT|READ,1,8,20261008000166_addon_skus.sql,20261008000166_addon_skus.sql
admin_audit_log,public,Other,AUDIT,8,id,2,0,0,4,0,YES,2,NO,YES,NO,NO,NO,7,0,1,NO,5,INSERT|READ,2,11,20261008000105_admin_audit_log.sql,20261009000184_fix_admin_audit_log_hospital_fk.sql
admission_day_care_procedures,public,IPD,CORE ENTITY,7,id,3,0,2,3,1,YES,2,YES,YES,NO,NO,NO,3,98,13,YES,1,READ|INSERT,1,8,20261008000158_daycare_multi_procedure.sql,20261008000158_daycare_multi_procedure.sql
admission_estimates,public,IPD,CORE ENTITY,12,id,5,0,0,3,1,YES,1,YES,YES,NO,NO,YES,1,68,259,YES,5,READ|INSERT,1,3,20260908000001_admission_estimates.sql,20260908000001_admission_estimates.sql
admission_sequences,public,IPD,CONFIGURATION,4,hospital_id prefix,1,0,0,1,1,YES,1,YES,NO,NO,NO,NO,0,0,102,NO,0,NONE,1,4,20261008000143_admission_number_sequence.sql,20261008000143_admission_number_sequence.sql
admissions,public,IPD,CORE ENTITY,81,id,16,1,2,11,7,YES,3,YES,YES,NO,NO,NO,4,963,3844,YES,110,READ|UPDATE|INSERT|DELETE,26,77,20260322100400_6c9a79a1-7e9c-4765-b9ee-5f84aa2a6291.sql,20261009000183_daycare_late_discharge_override.sql
adult_immunization_schedule,public,Other,CORE ENTITY,12,id,3,0,1,3,1,YES,1,YES,YES,NO,NO,NO,0,1,172,NO,1,READ|UPDATE|INSERT,1,3,20260509100001_nabh_preventive_screenings.sql,20260509100001_nabh_preventive_screenings.sql
advance_receipts,public,Other,CORE ENTITY,14,id,5,1,0,3,2,YES,2,YES,YES,NO,NO,NO,1,1007,0,YES,6,INSERT|READ,2,3,20260323042425_16804ec8-3823-495a-89b7-52db4d2a494e.sql,20261008000134_advance_receipts_admission_scope.sql
ai_attestations,public,AI,CORE ENTITY,9,id,2,0,1,5,1,YES,1,YES,NO,NO,NO,NO,0,0,108,NO,3,INSERT|READ,2,9,20260908000007_ai_attestations.sql,20260908000015_ai_triage_sepsis.sql
ai_cost_daily,public,AI,CORE ENTITY,12,id,1,1,0,3,1,YES,2,YES,NO,NO,NO,NO,122,60,4456,NO,2,READ,2,8,20260910000002_ai_usage_logs.sql,20261009000175_ai_budget_and_inr_metering.sql
ai_digests,public,AI,CORE ENTITY,10,id,1,1,0,2,1,YES,2,YES,NO,NO,NO,NO,1,0,112,NO,2,READ|INSERT|UPDATE,2,4,20260326062728_10e73bb1-dbbb-46dd-bbdb-71732039c2b1.sql,20260327062736_ec17f5cb-0625-4f53-a2f9-4d5087d56362.sql
