table,domain,category,tenant_model,hospital_id,primary_key,fk_count,policy_count,app_file_refs,app_ops,design_provenance,ai_duplication_risk,ai_drift_risk,security_risk,data_integrity_risk,performance_risk,final_verdict,confidence,evidence
abdm_audit_log,ABDM,AUDIT,DIRECT hospital_id,YES,id,3,1,1,INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260526000002_abdm_security.sql ; 20260526000002_abdm_security.sql
abdm_care_contexts,ABDM,CORE ENTITY,DIRECT hospital_id,YES,id,2,2,11,READ|INSERT|UPDATE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260525000002_abdm_schema.sql ; 20260525000002_abdm_schema.sql
abdm_consent_logs,ABDM,AUDIT,DIRECT hospital_id,YES,id,3,1,2,READ|INSERT|DELETE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260908000012_abha_consent_logs.sql ; 20260908000012_abha_consent_logs.sql
abdm_consents,ABDM,CORE ENTITY,DIRECT hospital_id,YES,id,2,2,5,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260525000002_abdm_schema.sql ; 20260525000002_abdm_schema.sql
abdm_gateway_logs,ABDM,AUDIT,DIRECT hospital_id,YES,id,1,2,8,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20260525000002_abdm_schema.sql ; 20260525000002_abdm_schema.sql
abdm_rate_limits,ABDM,CORE ENTITY,DENY-ALL (no policies),NO,key,0,0,0,NONE,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,"REVIEW (no app usage, no rows)",LOW,20260526000002_abdm_security.sql ; 20260526000002_abdm_security.sql
accounting_posting_failures,Other,CORE ENTITY,DIRECT hospital_id,YES,id,1,3,2,READ|UPDATE|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,LOW,KEEP,MEDIUM,20260613130000_accounting_posting_failures.sql ; 20260613130000_accounting_posting_failures.sql
addon_skus,Platform,PLATFORM,GLOBAL / non-tenant,NO,id,0,3,6,INSERT|READ,PATCHED DESIGN (repeated policy rewrites),LOW,LOW,CRITICAL,LOW,LOW,KEEP + MODIFY (fix RLS),HIGH,20261008000166_addon_skus.sql ; 20261008000166_addon_skus.sql
admin_audit_log,Other,AUDIT,DERIVED via aumrti_admins,NO,id,2,2,5,INSERT|READ,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000105_admin_audit_log.sql ; 20261008000105_admin_audit_log.sql
admission_day_care_procedures,IPD,CORE ENTITY,DIRECT hospital_id,YES,id,3,2,1,READ|INSERT,INTENTIONAL DESIGN,LOW,LOW,LOW,LOW,MEDIUM,KEEP,MEDIUM,20261008000158_daycare_multi_procedure.sql ; 20261008000158_daycare_multi_procedure.sql
