table,domain,has_hospital_id,fk_to_hospitals,tenant_model,parent_tables,policy_count,rls_references_hospital,write_path_tenant_guarded,open_select,open_write,risk,notes
abdm_audit_log,ABDM,YES,YES,DIRECT hospital_id,patients|users,1,YES,N/A,NO,NO,LOW,
abdm_care_contexts,ABDM,YES,YES,DIRECT hospital_id,patients,2,YES,YES,NO,NO,LOW,
abdm_consent_logs,ABDM,YES,YES,DIRECT hospital_id,users|patients,1,YES,YES,NO,NO,LOW,
abdm_consents,ABDM,YES,YES,DIRECT hospital_id,patients,2,YES,YES,NO,NO,LOW,
abdm_gateway_logs,ABDM,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
abdm_rate_limits,ABDM,NO,NO,DENY-ALL (no policies),,0,NO,N/A,NO,NO,LOW,service_role only (bypassrls)
accounting_posting_failures,Other,YES,YES,DIRECT hospital_id,,3,YES,YES,NO,NO,LOW,
addon_skus,Platform,NO,NO,GLOBAL / non-tenant,,3,NO,NO,YES,NO,CRITICAL,USING(true) readable by any authenticated user
admin_audit_log,Other,NO,YES,DERIVED via aumrti_admins,aumrti_admins,2,NO,NO,NO,NO,MEDIUM,
admission_day_care_procedures,IPD,YES,YES,DIRECT hospital_id,admissions|day_care_procedures,2,YES,YES,NO,NO,LOW,
admission_estimates,IPD,YES,YES,DIRECT hospital_id,admissions|users|health_packages,1,YES,YES,NO,NO,LOW,
admission_sequences,IPD,YES,YES,hospital_id present but UNUSED by RLS,,1,NO,N/A,YES,NO,CRITICAL,column exists but no policy references it; USING(true) readable by any authenticated user
admissions,IPD,YES,YES,DIRECT hospital_id,users|beds|users,3,YES,YES,NO,NO,LOW,
adult_immunization_schedule,Other,YES,YES,DIRECT hospital_id,users|patients,1,YES,YES,NO,NO,LOW,
advance_receipts,Other,YES,YES,DIRECT hospital_id,bills|admissions|patients,2,YES,YES,NO,NO,LOW,
ai_attestations,AI,YES,YES,DIRECT hospital_id,users,1,YES,YES,NO,NO,LOW,
ai_cost_daily,AI,YES,YES,DIRECT hospital_id,,2,YES,N/A,NO,NO,LOW,
ai_digests,AI,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
ai_feature_classes,AI,NO,NO,DERIVED via users,users,2,NO,NO,YES,NO,CRITICAL,USING(true) readable by any authenticated user
ai_feature_logs,AI,YES,YES,DIRECT hospital_id,patients,1,YES,YES,NO,NO,LOW,
ai_language_settings,AI,YES,YES,DIRECT hospital_id,,2,YES,YES,YES,NO,CRITICAL,USING(true) readable by any authenticated user
ai_provider_config,AI,YES,YES,DIRECT hospital_id,,4,YES,YES,NO,NO,LOW,
ai_safety_flags,AI,YES,NO,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
ai_suggestions_audit,AI,YES,NO,DIRECT hospital_id,users,2,YES,YES,NO,NO,LOW,
ai_usage_logs,AI,YES,YES,DIRECT hospital_id,,2,YES,N/A,NO,NO,LOW,
ai_wallet_transactions,AI,YES,YES,DIRECT hospital_id,,2,YES,N/A,NO,NO,LOW,
alert_escalation_log,Other,YES,YES,DIRECT hospital_id,clinical_alerts|alert_escalation_rules,1,YES,YES,NO,NO,LOW,
alert_escalation_rules,Other,YES,YES,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
ambulance_dispatches,Emergency,YES,YES,DIRECT hospital_id,bills|patients|ambulance_vehicles,1,YES,YES,NO,NO,LOW,
ambulance_equipment_checks,Emergency,YES,YES,DIRECT hospital_id,users|ambulance_vehicles,1,YES,YES,NO,NO,LOW,
ambulance_transit_treatment,Emergency,YES,YES,DIRECT hospital_id,ambulance_dispatches|users,1,YES,YES,NO,NO,LOW,
ambulance_vehicles,Emergency,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
amc_contracts,Other,YES,YES,DIRECT hospital_id,equipment_master,1,YES,YES,NO,NO,LOW,
anaesthesia_records,Other,YES,YES,DIRECT hospital_id,ot_schedules|patients,1,YES,YES,NO,NO,LOW,
andrology_reports,IVF/ART,YES,YES,DIRECT hospital_id,art_couples|patients|users,2,YES,YES,NO,NO,LOW,
antibiotic_justifications,Other,YES,YES,DIRECT hospital_id,users|patients|users,1,YES,YES,NO,NO,LOW,
antibiotic_restricted_list,Other,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
api_configurations,Integration,YES,YES,DIRECT hospital_id,,4,YES,YES,NO,NO,LOW,
api_keys,Integration,YES,YES,DIRECT hospital_id,users,3,YES,YES,NO,NO,LOW,
appointments,OPD,YES,YES,DIRECT hospital_id,users|departments|users,4,YES,YES,NO,NO,LOW,
arogyasri_enrollments,PM-JAY,YES,NO,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
art_couples,IVF/ART,YES,YES,DIRECT hospital_id,patients|patients|users,2,YES,YES,NO,NO,LOW,
asr_pricing,Other,NO,NO,GLOBAL / non-tenant,,1,NO,NO,NO,NO,LOW,
attendance_regularization_requests,HR,YES,YES,DIRECT hospital_id,users|users,1,YES,YES,NO,NO,LOW,
audit_log,Audit/Compliance,YES,NO,DIRECT hospital_id,,2,YES,YES,NO,NO,LOW,
audit_records,Audit/Compliance,YES,YES,DIRECT hospital_id,users,3,YES,YES,NO,NO,LOW,
aumrti_admins,Identity,NO,NO,DERIVED via users,users,2,NO,NO,NO,NO,MEDIUM,
auto_posting_rules,Other,YES,YES,DIRECT hospital_id,chart_of_accounts|chart_of_accounts,1,YES,YES,NO,NO,LOW,
ayush_drug_master,Other,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
ayush_encounters,Other,YES,YES,DIRECT hospital_id,patients|users,1,YES,YES,NO,NO,LOW,
bank_accounts,Other,YES,YES,DIRECT hospital_id,chart_of_accounts,1,YES,YES,NO,NO,LOW,
bank_transactions,Other,YES,YES,DIRECT hospital_id,bank_accounts|journal_line_items,1,YES,YES,NO,NO,LOW,
bed_demand_forecasts,IPD,YES,YES,DIRECT hospital_id,wards,2,YES,YES,NO,NO,LOW,
bed_reservations,IPD,YES,YES,DIRECT hospital_id,admissions|beds|users,1,YES,YES,NO,NO,LOW,
beds,IPD,YES,YES,DIRECT hospital_id,wards,2,YES,YES,NO,NO,LOW,
bill_amendments,Billing,YES,YES,DIRECT hospital_id,bills|users,1,YES,YES,NO,NO,LOW,
bill_discount_approvals,Billing,YES,YES,DIRECT hospital_id,users|bills|users,1,YES,YES,NO,NO,LOW,
bill_line_items,Billing,YES,YES,DIRECT hospital_id,bills|users|users,2,YES,YES,NO,NO,LOW,
bill_payments,Billing,YES,YES,DIRECT hospital_id,bills|users,2,YES,YES,NO,NO,LOW,
bill_sequences,Billing,YES,YES,DIRECT hospital_id,,1,YES,YES,NO,NO,LOW,
bills,Billing,YES,YES,DIRECT hospital_id,admissions|users|users,3,YES,YES,NO,NO,LOW,
blood_antibody_screening,Blood Bank,YES,YES,DIRECT hospital_id,patients|users|blood_units,1,YES,YES,NO,NO,LOW,
