table,domain,constraint,columns,references_table,ref_columns,on_delete,on_update,indexed,flags,severity
abdm_audit_log,ABDM,abdm_audit_log_hospital_id_fkey,hospital_id,hospitals,id,CASCADE,NO ACTION,NO,UNINDEXED; CASCADE on financial/audit data,HIGH
abdm_audit_log,ABDM,abdm_audit_log_patient_id_fkey,patient_id,patients,id,SET NULL,NO ACTION,NO,UNINDEXED,HIGH
abdm_audit_log,ABDM,abdm_audit_log_performed_by_fkey,performed_by,users,id,SET NULL,NO ACTION,NO,UNINDEXED,MEDIUM
abdm_care_contexts,ABDM,abdm_care_contexts_hospital_id_fkey,hospital_id,hospitals,id,CASCADE,NO ACTION,NO,UNINDEXED,HIGH
abdm_care_contexts,ABDM,abdm_care_contexts_patient_id_fkey,patient_id,patients,id,CASCADE,NO ACTION,NO,UNINDEXED,HIGH
abdm_consent_logs,ABDM,abdm_consent_logs_consent_given_by_fkey,consent_given_by,users,id,NO ACTION,NO ACTION,NO,UNINDEXED,MEDIUM
abdm_consent_logs,ABDM,abdm_consent_logs_hospital_id_fkey,hospital_id,hospitals,id,NO ACTION,NO ACTION,YES,tenant FK without CASCADE/RESTRICT policy,OK
abdm_consent_logs,ABDM,abdm_consent_logs_patient_id_fkey,patient_id,patients,id,NO ACTION,NO ACTION,YES,none,OK
abdm_consents,ABDM,abdm_consents_hospital_id_fkey,hospital_id,hospitals,id,CASCADE,NO ACTION,NO,UNINDEXED,HIGH
abdm_consents,ABDM,abdm_consents_patient_id_fkey,patient_id,patients,id,SET NULL,NO ACTION,NO,UNINDEXED,HIGH
abdm_gateway_logs,ABDM,abdm_gateway_logs_hospital_id_fkey,hospital_id,hospitals,id,CASCADE,NO ACTION,NO,UNINDEXED,HIGH
accounting_posting_failures,Other,accounting_posting_failures_hospital_id_fkey,hospital_id,hospitals,id,CASCADE,NO ACTION,YES,none,OK
admin_audit_log,Other,admin_audit_log_admin_id_fkey,admin_id,aumrti_admins,id,NO ACTION,NO ACTION,NO,UNINDEXED,MEDIUM
admin_audit_log,Other,admin_audit_log_target_hospital_id_fkey,target_hospital_id,hospitals,id,SET NULL,NO ACTION,YES,none,OK
admission_day_care_procedures,IPD,admission_day_care_procedures_admission_id_fkey,admission_id,admissions,id,CASCADE,NO ACTION,YES,none,OK
admission_day_care_procedures,IPD,admission_day_care_procedures_hospital_id_fkey,hospital_id,hospitals,id,NO ACTION,NO ACTION,NO,UNINDEXED; tenant FK without CASCADE/RESTRICT policy,HIGH
admission_day_care_procedures,IPD,admission_day_care_procedures_procedure_id_fkey,procedure_id,day_care_procedures,id,NO ACTION,NO ACTION,NO,UNINDEXED,MEDIUM
admission_estimates,IPD,admission_estimates_admission_id_fkey,admission_id,admissions,id,CASCADE,NO ACTION,YES,none,OK
admission_estimates,IPD,admission_estimates_created_by_fkey,created_by,users,id,NO ACTION,NO ACTION,NO,UNINDEXED; actor FK -> public.users,MEDIUM
admission_estimates,IPD,admission_estimates_hospital_id_fkey,hospital_id,hospitals,id,CASCADE,NO ACTION,YES,none,OK
admission_estimates,IPD,admission_estimates_package_id_fkey,package_id,health_packages,id,NO ACTION,NO ACTION,NO,UNINDEXED,MEDIUM
admission_estimates,IPD,admission_estimates_patient_id_fkey,patient_id,patients,id,NO ACTION,NO ACTION,NO,UNINDEXED,HIGH
admission_sequences,IPD,admission_sequences_hospital_id_fkey,hospital_id,hospitals,id,CASCADE,NO ACTION,YES,none,OK
admissions,IPD,admissions_admitting_doctor_id_fkey,admitting_doctor_id,users,id,NO ACTION,NO ACTION,YES,none,OK
admissions,IPD,admissions_bed_id_fkey,bed_id,beds,id,NO ACTION,NO ACTION,NO,UNINDEXED,MEDIUM
