table,domain,constraint,type,definition,flags
abdm_audit_log,ABDM,abdm_audit_log_pkey,PRIMARY KEY,PRIMARY KEY (id),none
abdm_care_contexts,ABDM,abdm_care_contexts_context_type_check,CHECK,"CHECK ((context_type = ANY (ARRAY['OPDRecord'::text, 'DischargeSummaryRecord'::text, 'DiagnosticReportRecord'::text, 'PrescriptionRecord'::text, 'ImmunizationRecord'::text, 'HealthDocumentRecord'::text])))",status/type enumeration via CHECK
abdm_care_contexts,ABDM,abdm_care_contexts_link_status_check,CHECK,"CHECK ((link_status = ANY (ARRAY['unlinked'::text, 'pending'::text, 'linked'::text, 'failed'::text])))",status/type enumeration via CHECK
abdm_care_contexts,ABDM,abdm_care_contexts_pkey,PRIMARY KEY,PRIMARY KEY (id),none
abdm_consent_logs,ABDM,abdm_consent_logs_consent_type_check,CHECK,"CHECK ((consent_type = ANY (ARRAY['linking'::text, 'data_access'::text, 'hip_sharing'::text])))",status/type enumeration via CHECK
abdm_consent_logs,ABDM,abdm_consent_logs_pkey,PRIMARY KEY,PRIMARY KEY (id),none
abdm_consents,ABDM,abdm_consents_consent_id_key,UNIQUE,UNIQUE (consent_id),GLOBAL uniqueness on tenant table - verify intent
abdm_consents,ABDM,abdm_consents_pkey,PRIMARY KEY,PRIMARY KEY (id),none
abdm_consents,ABDM,abdm_consents_status_check,CHECK,"CHECK ((status = ANY (ARRAY['REQUESTED'::text, 'GRANTED'::text, 'DENIED'::text, 'REVOKED'::text, 'EXPIRED'::text])))",status/type enumeration via CHECK
abdm_gateway_logs,ABDM,abdm_gateway_logs_direction_check,CHECK,"CHECK ((direction = ANY (ARRAY['inbound'::text, 'outbound'::text])))",none
abdm_gateway_logs,ABDM,abdm_gateway_logs_pkey,PRIMARY KEY,PRIMARY KEY (id),none
abdm_rate_limits,ABDM,abdm_rate_limits_pkey,PRIMARY KEY,PRIMARY KEY (key),none
accounting_posting_failures,Other,accounting_posting_failures_pkey,PRIMARY KEY,PRIMARY KEY (id),none
addon_skus,Platform,addon_skus_pkey,PRIMARY KEY,PRIMARY KEY (id),none
addon_skus,Platform,addon_skus_slug_key,UNIQUE,UNIQUE (slug),none
admin_audit_log,Other,admin_audit_log_pkey,PRIMARY KEY,PRIMARY KEY (id),none
admission_day_care_procedures,IPD,admission_day_care_procedures_pkey,PRIMARY KEY,PRIMARY KEY (id),none
admission_day_care_procedures,IPD,admission_day_care_procedures_quantity_check,CHECK,CHECK ((quantity > 0)),none
admission_day_care_procedures,IPD,admission_day_care_procedures_rate_check,CHECK,CHECK ((rate >= (0)::numeric)),none
admission_estimates,IPD,admission_estimates_pkey,PRIMARY KEY,PRIMARY KEY (id),none
admission_sequences,IPD,admission_sequences_pkey,PRIMARY KEY,"PRIMARY KEY (hospital_id, prefix)",none
admissions,IPD,admissions_bed_required_unless_daycare,CHECK,"CHECK (((COALESCE(admission_type, ''::text) = 'daycare'::text) OR ((bed_id IS NOT NULL) AND (ward_id IS NOT NULL))))",status/type enumeration via CHECK
admissions,IPD,admissions_deposit_disposition_check,CHECK,"CHECK (((deposit_disposition IS NULL) OR (deposit_disposition = ANY (ARRAY['refund'::text, 'retain_fee'::text, 'carry_forward'::text]))))",none
admissions,IPD,admissions_hospital_admission_number_key,UNIQUE,"UNIQUE (hospital_id, admission_number)",tenant-scoped uniqueness
admissions,IPD,admissions_pkey,PRIMARY KEY,PRIMARY KEY (id),none
adult_immunization_schedule,Other,adult_immunization_schedule_pkey,PRIMARY KEY,PRIMARY KEY (id),none
adult_immunization_schedule,Other,adult_immunization_schedule_status_check,CHECK,"CHECK ((status = ANY (ARRAY['due'::text, 'given'::text, 'overdue'::text, 'deferred'::text])))",status/type enumeration via CHECK
advance_receipts,Other,advance_receipts_hospital_receipt_number_key,UNIQUE,"UNIQUE (hospital_id, receipt_number)",tenant-scoped uniqueness
advance_receipts,Other,advance_receipts_pkey,PRIMARY KEY,PRIMARY KEY (id),none
ai_attestations,AI,ai_attestations_feature_check,CHECK,"CHECK ((feature = ANY (ARRAY['clinical_note'::text, 'discharge_summary'::text, 'differential_dx'::text, 'icd_suggest'::text, 'radiology_impression'::text, 'voice_dictation'::text, 'executive_digest'::text, 'triage_assist'::text, 'sepsis_screening'::text])))",none
ai_attestations,AI,ai_attestations_pkey,PRIMARY KEY,PRIMARY KEY (id),none
ai_cost_daily,AI,ai_cost_daily_hospital_id_date_feature_key_provider_key,UNIQUE,"UNIQUE (hospital_id, date, feature_key, provider)",tenant-scoped uniqueness
ai_cost_daily,AI,ai_cost_daily_pkey,PRIMARY KEY,PRIMARY KEY (id),none
ai_digests,AI,ai_digests_hospital_id_digest_date_key,UNIQUE,"UNIQUE (hospital_id, digest_date)",tenant-scoped uniqueness
ai_digests,AI,ai_digests_pkey,PRIMARY KEY,PRIMARY KEY (id),none
ai_feature_classes,AI,ai_feature_classes_class_check,CHECK,"CHECK ((class = ANY (ARRAY['safety'::text, 'productivity'::text, 'analytical'::text])))",none
ai_feature_classes,AI,ai_feature_classes_pkey,PRIMARY KEY,PRIMARY KEY (feature_key),none
ai_feature_logs,AI,ai_feature_logs_pkey,PRIMARY KEY,PRIMARY KEY (id),none
ai_language_settings,AI,ai_language_settings_pkey,PRIMARY KEY,PRIMARY KEY (id),none
ai_language_settings,AI,uq_ai_lang_hospital_feature,UNIQUE,"UNIQUE (hospital_id, feature_key)",tenant-scoped uniqueness
ai_provider_config,AI,ai_provider_config_hospital_id_feature_key_key,UNIQUE,"UNIQUE (hospital_id, feature_key)",tenant-scoped uniqueness
ai_provider_config,AI,ai_provider_config_pkey,PRIMARY KEY,PRIMARY KEY (id),none
ai_provider_config,AI,ai_provider_config_provider_check,CHECK,"CHECK ((provider = ANY (ARRAY['claude'::text, 'openai'::text, 'azure_openai'::text, 'gemini'::text, 'perplexity'::text, 'openrouter'::text, 'ollama'::text])))",none
ai_safety_flags,AI,ai_safety_flags_pkey,PRIMARY KEY,PRIMARY KEY (id),none
ai_suggestions_audit,AI,ai_suggestions_audit_confidence_check,CHECK,CHECK (((confidence IS NULL) OR ((confidence >= (0)::numeric) AND (confidence <= (1)::numeric)))),none
ai_suggestions_audit,AI,ai_suggestions_audit_pkey,PRIMARY KEY,PRIMARY KEY (id),none
ai_suggestions_audit,AI,ai_suggestions_audit_user_action_check,CHECK,"CHECK ((user_action = ANY (ARRAY['accepted'::text, 'overridden'::text, 'rejected'::text, 'flagged'::text])))",none
ai_usage_logs,AI,ai_usage_logs_pkey,PRIMARY KEY,PRIMARY KEY (id),none
ai_wallet_transactions,AI,ai_wallet_transactions_pkey,PRIMARY KEY,PRIMARY KEY (id),none
ai_wallet_transactions,AI,ai_wallet_transactions_type_check,CHECK,"CHECK ((type = ANY (ARRAY['topup'::text, 'debit'::text, 'grant'::text, 'adjustment'::text, 'refund'::text])))",status/type enumeration via CHECK
alert_escalation_log,Other,alert_escalation_log_pkey,PRIMARY KEY,PRIMARY KEY (id),none
alert_escalation_rules,Other,alert_escalation_rules_pkey,PRIMARY KEY,PRIMARY KEY (id),none
