table,domain,index,columns,kind,size_bytes,scans,flags
abdm_audit_log,ABDM,abdm_audit_log_pkey,id,PK,8192,0,none
abdm_care_contexts,ABDM,abdm_care_contexts_pkey,id,PK,8192,0,none
abdm_consent_logs,ABDM,abdm_consent_logs_pkey,id,PK,16384,0,none
abdm_consent_logs,ABDM,idx_abdm_consent_logs_hospital,hospital_id,INDEX,16384,115,none
abdm_consent_logs,ABDM,idx_abdm_consent_logs_patient,patient_id,INDEX,16384,95,none
abdm_consents,ABDM,abdm_consents_consent_id_key,consent_id,UNIQUE,8192,0,none
abdm_consents,ABDM,abdm_consents_pkey,id,PK,8192,0,none
abdm_gateway_logs,ABDM,abdm_gateway_logs_pkey,id,PK,16384,0,none
abdm_rate_limits,ABDM,abdm_rate_limits_pkey,key,PK,8192,0,none
accounting_posting_failures,Other,accounting_posting_failures_hospital_created_idx,hospital_id created_at,INDEX,16384,114,none
accounting_posting_failures,Other,accounting_posting_failures_pkey,id,PK,16384,0,none
addon_skus,Platform,addon_skus_pkey,id,PK,16384,0,none
addon_skus,Platform,addon_skus_slug_key,slug,UNIQUE,16384,0,none
admin_audit_log,Other,admin_audit_log_pkey,id,PK,16384,0,none
admin_audit_log,Other,idx_admin_audit_log_action,action created_at,INDEX,16384,0,ZERO scans since stats reset
admin_audit_log,Other,idx_admin_audit_log_created,created_at,INDEX,16384,0,ZERO scans since stats reset
admin_audit_log,Other,idx_admin_audit_log_hospital,target_hospital_id created_at,INDEX,16384,1,none
admission_day_care_procedures,IPD,admission_day_care_procedures_pkey,id,PK,16384,0,none
admission_day_care_procedures,IPD,idx_admission_day_care_procedures_admission,admission_id,INDEX,16384,13,none
admission_day_care_procedures,IPD,uq_admission_day_care_procedure,admission_id procedure_id,UNIQUE,16384,0,none
admission_estimates,IPD,admission_estimates_admission_id_idx,admission_id,INDEX,16384,0,ZERO scans since stats reset
admission_estimates,IPD,admission_estimates_hospital_id_idx,hospital_id,INDEX,16384,259,none
admission_estimates,IPD,admission_estimates_pkey,id,PK,16384,0,none
admission_sequences,IPD,admission_sequences_pkey,hospital_id prefix,PK,16384,102,none
admissions,IPD,admissions_ec_phone_hash_idx,hospital_id ec_phone_hash,INDEX,8192,0,ZERO scans since stats reset
admissions,IPD,admissions_hospital_admission_number_key,hospital_id admission_number,UNIQUE,16384,418,none
admissions,IPD,admissions_pkey,id,PK,16384,2125,none
admissions,IPD,idx_admissions_discharge_unsigned,hospital_id discharge_unsigned_at,INDEX,16384,0,ZERO scans since stats reset
admissions,IPD,idx_admissions_doctor,admitting_doctor_id admitted_at,INDEX,16384,5,none
admissions,IPD,idx_admissions_hospital_admitted,hospital_id admitted_at,INDEX,16384,346,none
admissions,IPD,idx_admissions_hospital_status,hospital_id status,INDEX,16384,702,none
admissions,IPD,idx_admissions_late_discharge,hospital_id late_discharge_at,INDEX,16384,0,ZERO scans since stats reset
admissions,IPD,idx_admissions_package,hospital_id package_id,INDEX,8192,0,ZERO scans since stats reset
admissions,IPD,idx_admissions_patient,patient_id admitted_at,INDEX,16384,232,none
admissions,IPD,idx_admissions_scheduled,hospital_id scheduled_at,INDEX,16384,16,none
adult_immunization_schedule,Other,adult_immunization_schedule_hospital_id_patient_id_idx,hospital_id patient_id,INDEX,8192,67,none
adult_immunization_schedule,Other,adult_immunization_schedule_hospital_id_status_due_date_idx,hospital_id status due_date,INDEX,8192,105,none
adult_immunization_schedule,Other,adult_immunization_schedule_pkey,id,PK,8192,0,none
advance_receipts,Other,advance_receipts_hospital_receipt_number_key,hospital_id receipt_number,UNIQUE,16384,0,none
advance_receipts,Other,advance_receipts_pkey,id,PK,16384,0,none
advance_receipts,Other,idx_advance_receipts_admission_id,admission_id,INDEX,16384,0,ZERO scans since stats reset
ai_attestations,AI,ai_attestations_pkey,id,PK,16384,0,none
ai_attestations,AI,idx_ai_attestations_attested_by,attested_by,INDEX,16384,1,none
ai_attestations,AI,idx_ai_attestations_feature,feature,INDEX,16384,0,ZERO scans since stats reset
ai_attestations,AI,idx_ai_attestations_hospital,hospital_id,INDEX,16384,107,none
ai_attestations,AI,idx_ai_attestations_source,source_id,INDEX,16384,0,ZERO scans since stats reset
