object,exists_live,app_ops,app_file_count,app_files_sample,probable_intended_target,finding,severity
abdm_audit_log,TABLE,INSERT,1,supabase/functions/_shared/abdm-audit.ts,,ok,OK
abdm_care_contexts,TABLE,READ|INSERT|UPDATE,11,src/components/abdm/ABDMCareContextsPanel.tsx ; src/components/abdm/ConsentStatusBanner.tsx ; src/components/dashboard/ABDMComplianceCard.tsx ; src/pages/ABDMComplianceDashboard.tsx,,ok,OK
abdm_consent_logs,TABLE,READ|INSERT|DELETE,2,src/components/patients/ABHASearchPanel.tsx ; e2e/phase-03-patient-records/purge-helpers.ts,,ok,OK
abdm_consents,TABLE,READ|UPDATE|INSERT,5,src/components/abdm/ConsentStatusBanner.tsx ; src/components/layout/AppSidebar.tsx ; src/pages/ABDMComplianceDashboard.tsx ; src/pages/ABDMConsentPage.tsx,,ok,OK
abdm_gateway_logs,TABLE,READ|INSERT,8,src/pages/ABDMConsentPage.tsx ; supabase/functions/abdm-abha-create/index.ts ; supabase/functions/abdm-gateway-token/index.ts ; supabase/functions/abdm-hfr-register/index.ts,,ok,OK
accounting_posting_failures,TABLE,READ|UPDATE|INSERT,2,src/components/accounts/PostingFailuresCard.tsx ; src/lib/accounting.ts,,ok,OK
addon_entitlement_drift,VIEW,READ,2,src/pages/platform/HospitalDetailPage.tsx ; src/pages/platform/PlansManagerPage.tsx,,ok,OK
addon_skus,TABLE,INSERT|READ,6,src/components/platform/AddonSkuEditor.tsx ; src/pages/platform/HospitalDetailPage.tsx ; src/pages/platform/PlansManagerPage.tsx ; src/pages/PricingPage.tsx,,ok,OK
admin_audit_log,TABLE,INSERT|READ,5,src/lib/adminAudit.ts ; src/lib/impersonation.ts ; src/pages/platform/AuditLogPage.tsx ; src/pages/platform/ComplianceCenterPage.tsx,,ok,OK
admission_day_care_procedures,TABLE,READ|INSERT,1,src/lib/dayCareProcedures.ts,,ok,OK
admission_estimates,TABLE,READ|INSERT,5,src/components/billing/BillEditor.tsx ; src/components/ipd/AdmitPatientModal.tsx ; src/components/ipd/DayCareFinancialPanel.tsx ; src/components/ipd/IPDWorkspace.tsx,,ok,OK
admissions,TABLE,READ|UPDATE|INSERT|DELETE,110,src/components/analytics/CustomReportBuilder.tsx ; src/components/analytics/DailyCensusSection.tsx ; src/components/analytics/DepartmentDetailModal.tsx ; src/components/analytics/PROMAnalyticsTab.tsx,,ok,OK
